473	Scrupocellaria maderensis	0			
474	Scrupocellaria spatulata	0			
475	Micropora angusta	0			
476	Micropora variperforata	0			
477	Steginoporella magnilabris	0			
478	Thalamoporella granulata	0			
479	Thalamoporella stapifera	0			
480	Labioporella bursaria	0			
481	Puellina decipiens	0			
482	Puellina egretta	0			
483	Puellina vulgaris	0			
484	Figularia fissa	0			
485	Vasignyella otophora	0			
486	Hippothoa calciophila	0			
487	Chorizopora brongniartii	0			
488	Tremogasterina spathulata	0			
489	Exochella conjuncta	0			
490	Celleporaria tridenticulata	0			
491	Celleporaria aperta	0			
492	Celleporaria desperabilis	0			
493	Celleporaria pigmentaria	0			
494	Celleporaria vagans	0			
495	Hippopodina feegeensis	0			
496	Cosciniopsis lonchaea	0			
497	Thornelya perarmata	0			
498	Calyptotheca tenuata	0			
499	Calyptotheca thornelyae	0			
500	Emballotheca pacifica	0			
501	Robertsonidra argentea	0			
502	Robertsonidra novella	0			
503	Schizomavella inclusa	0			
504	Phonicosia circinata	0			
505	Escharina pesanseris	0			
506	Stylopoma duboisii	0			
507	Stylopoma thornelyae	0			
508	Stylopoma viride	0			
509	Cigclisula areolata	0			
510	Smittoidea pacifica	1			
511	Parasmittina galerita	0			
512	Parasmittina latiavicularia	0			
513	Parasmittina onychorrhyncha	0			
514	Parasmittina serrula	1			
515	Parasmittina turbula	0			
516	Pleurocodonellina signata	0			
517	Pleurocodonellina clavicula	0			
518	Sinupetraliella litoralis	0			
519	Crepidacantha crinispina	0			
520	Crepidacantha carsioseta	0			
521	Inversiula inversa	0			
522	Microporella orientalis	0			
523	Microporella fimbriata	0			
524	Metracolposa cylindrica	0			
525	Margaretta tenuis	0			
526	Margaretta triplex	0			
527	Turbicellepora ampla	0			
528	Celleporina reginae	0			
529	Reteporella graeffei	0			
530	Triphyllozoon mucronatum	0			
531	Schedocleidochasma porcellanum	0			
532	Rhynchozoon ardeolum	0			
533	Rhynchozoon bifurcum	0			
534	Rhynchozoon compactum	0			
535	Rhynchozoon haha	0			
536	Rhynchozoon limatulum	0			
537	Rhynchozoon scopulorum	0			
538	Rhynchozoon splendens	0			
539	Nevianipora pulcherrima	0			
540	Disporella buskii	0			
541	Crisia elongata	0			
542	Bicrisia sp.	0			
543	Membranipora tuberculata	0			
544	Electra bellula	0			
545	Parellisina albida	0			
546	Chaperia sp.	0			
547	Nellia simplex	0			
548	Beania plurispinosa?	0			
549	Beania pectinata	0			
550	Beania klugei	0			
551	Smittipora cordiformis	0			
552	Thairopora calcarata	0			
553	Cellaria punctata	0			
554	Hippothoa flagellum	0			
555	Trypostega venusta	0			
556	Exechonella ampullacea	0			
557	Escharoides longirostris	0			
558	Celleporaria columnaris	0			
559	Celleporaria granulosa	0			
560	Celleporaria hesperopacifica	0			
561	Celleporaria sicaria	0			
562	Pleurotoichus clathratus	0			
563	Calyptotheca rupicola	0			
564	Cheiloporina campanula	0			
565	Gigantopora pupa	0			
566	Robertsonidra praecipua	0			
567	Stylopoma herodias	0			
568	Nimba saxatilis	0			
569	Cigclisula fruticosa	0			
570	Smittoidea incucula	0			
571	Pleurocodonellina laciniosa	0			
572	Microporella lunifera	0			
573	Fenestrulina epiphytica	0			
574	Celleporina bellatula	0			
575	Celleporina cochlearia	0			
576	Celleporina fistulata	0			
577	Celleporina rostellata	0			
578	Plesiocleidochasma normani	0			
579	Reteporellina denticulata	0			
580	Iodictyum mamillatum	0			
581	Iodictyum receptaculum	0			
582	Chaperiopsis harmeri	0			
583	Aetea ligulata	0			
584	Brettiopsis triplex	0			
585	Leiosalpinx inornata	0			
586	Electra longispina	0			
587	Harpecia spinosissima	0			
588	Carbasea curva	0			
589	Carbasea ovoidea	0			
590	Klugeflustra antarctica	0			
591	Klugeflustra drygalskii	0			
592	Klugeflustra onychocelloides	0			
593	Klugeflustra vanhoffeni	0			
594	Isosecuriflustra angusta	0			
595	Isosecuriflustra tenuis	0			
596	Isosecuriflustra thysanica	0			
597	Austroflustra vulgaris	0			
598	Nematoflustra flagellata	0			
599	Pyriporoides uniserialis	0			
600	Ellisina antarctica	0			
601	Ellisina constantia	0			
602	Amphiblestrum familiaris	0			
603	Amphiblestrum georgensis	0			
604	Amphiblestrum inermis	0			
605	Amphiblestrum rossi	0			
606	Crassimarginatella inconstantia	0			
607	Crassimarginatella perlucida	0			
608	Valdemunitella lata	0			
609	Xylochotridens rangifer	0			
610	Chaperiopsis cervicornis	0			
611	Chaperiopsis galeata	0			
612	Chaperiopsis orbiculata	0			
613	Chaperiopsis patulosa	0			
614	Chaperiopsis protecta	0			
615	Chaperiopsis quadrispinosa	0			
616	Chaperiopsis rotundata	0			
617	Chaperiopsis signyensis	0			
618	Icelozoon dichotomum	0			
619	Icelozoon lepralioides	0			
620	Exallozoon simplicissimum	0			
621	Bugula longissima	0			
622	Bugulella klugei	0			
623	Camptoplites bicornis	0			
624	Camptoplites angustus	0			
625	Camptoplites areolatus	0			
626	Camptoplites asymmetricus	0			
627	Camptoplites giganteus	0			
628	Camptoplites latus	0			
629	Camptoplites lewaldi	0			
630	Camptoplites rectilinearis	0			
631	Camptoplites retiformis	0			
632	Camptoplites tricornis	0			
633	Cornucopina lata	0			
634	Cornucopina ovalis	0			
635	Cornucopina pectogemma	0			
636	Cornucopina polymorpha	0			
637	Himantozoum antarcticum	0			
638	Himantozoum obtusum	0			
639	Klugella buski	0			
640	Klugella echinata	0			
641	Amastigia antarctica	0			
642	Amastigia benemunita	0			
643	Amastigia cabereoides	0			
644	Amastigia crassimarginata	0			
645	Amastigia gaussi	0			
646	Amastigia kirkpatricki	0			
647	Amastigia solida	0			
648	Notoplites antarcticus	0			
