361	Seo, 1994	Two species of Celleporaria ...		
362	Taylor, Schembri & Cook, 1989	Symbiotic associations ...		
363	Wass, 1975	A revision of the bryozoan genus Corbulipora		
364	Buge & Tillier, 1977	Doliocoitis atlantica...		
365	Buge, 1979	Resultats ... Calypso		
366	Robertson, 1905	Non-incrusting chilostomatous ...west coast North		
367	Robertson, 1908	The incrusting chilostomatous ...west coast North		
368	Jullien & Calvet, 1903	Bryozoaires provenant ...d l'Hirondelle		
369	Calvet in Jullien & Calvet, 1903	Bryozoaires provenant ...d l'Hirondelle. Deuxieme		
370	d'Hondt & Redier, 1977	Bryozoaires recoltes ... Iles Kerguelen		
371	Gordon & Taylor, 1997	The Cretaceous-Miocene genus Lichenopora		
372	Gordon & d'Hondt, 1997	Bryozoa: Lepraliomorpha and othe Ascophorina,		
373	Taylor & Gordon, 1997	Fenestulipora, gen. nov....		
374	Lagaaij, 1952	The Pliocene Bryozoa of the Low Countries		
375	Canu & Bassler, 1920	North American Early Tertiary Bryozoa		
376	Canu & Bassler, 1923	North American Later Tertiary & Quaternary Bryozoa		
377	Moyano, 1997	Las especies chilenas de Melicerita		
378	Busk, 1859b	The fossil Polyzoa of the Crag		
379	Brown, 1952	The Tertiary Cheilostomatous Polyzoa of New Zealand		
380	Brown, 1958	Fossil cheilostomatous Polyzoa from south-west Vic		
381	Brown, 1956	Some Pliocene Polyzoa from South Australia		
382	Brown, 1954	Crepidacantha		
383	Gordon et al, 1998	Discovery ... Caberea .. Lamouroux, 1816		
384	Bock & Cook, 1993a	Quadriscutella gen. nov		
385	Bock & Cook, 1993b	Catenariopsis morningtoniensis		
386	Bock & Cook, 1995a	Chasmazoon, gen. nov		
387	Bock & Cook, 1995b	Pachystomaria parvipuncta		
388	Bock & Cook, 1996a	Concatenellidae, a new family		
389	Cook & Bock, 1996b	Characodoma Maplestone, ..		
390	Hincks, 1880e	A history of the British Marine Polyzoa		
391	Cook & Chimonides, 1981a	Morphology and systematics... interior-walled		
