SpeciesID	Current_Name	Author	FAMCODE	Recent	Remarks	Date_created	Date_modified	first_name	html_page	OK	Status	FAMILIES::NAME
651	Schizoporella errata	(Waters, 1878)	250	1	\N	\N	2010-05-23	Schizoporella	bryozoa.net/cheilostomata/schizoporellidae/schierr.html	1	\N	SCHIZOPORELLIDAE
1318	Savignyella lafontii	(Audouin, 1826)	298	1	\N	\N	2010-05-23	Savignyella	bryozoa.net/cheilostomata/savignyellidae/savilaf.html	1	\N	SAVIGNYELLIDAE
1838	Psilopsella uniseriata	Canu & Bassler, 1927	218	1	ZR1927	\N	2010-05-23	Psilopsella	bryozoa.net/cheilostomata/romancheinidae/psiluni.html	1	\N	ROMANCHEINIDAE
1402	Nellia tenella	(Lamarck, 1816)	138	1	\N	\N	2010-05-23	Nellia	bryozoa.net/cheilostomata/quadricellariidae/nellocu.html	1	\N	QUADRICELLARIIDAE
109	Nellia tenuis	Harmer, 1926	138	1	ZR1926	\N	2010-05-23	Nellia	bryozoa.net/cheilostomata/quadricellariidae/nellia_tenuis.html	1	\N	QUADRICELLARIIDAE
185	Nellia simplex	Busk, 1852	138	1	\N	\N	2010-05-23	Nellia	bryozoa.net/cheilostomata/quadricellariidae/nellia_simplex.html	1	\N	QUADRICELLARIIDAE
1842	Triphyllozoon tenue	(Kirkpatrick, 1888)	274	1	\N	\N	2010-05-23	Triphyllozoon	bryozoa.net/cheilostomata/phidoloporidae/tripten.html	1	\N	PHIDOLOPORIDAE
1543	Triphyllozoon indivisum	Harmer, 1934	274	1	ZR1934	\N	2010-05-23	Triphyllozoon	bryozoa.net/cheilostomata/phidoloporidae/triphyllozoon_indivisum.html	1	\N	PHIDOLOPORIDAE
17863	Triphyllozoon bucculentum	Hayward, 2004	274	1	\N	\N	2010-05-23	Triphyllozoon	bryozoa.net/cheilostomata/phidoloporidae/triphyllozoon_bucculentum.html	1	\N	PHIDOLOPORIDAE
2769	Schedocleidochasma porcellaniforme	Soule, Soule & Chaney, 1991	274	1	ZR1991/92-183	\N	2010-05-23	Schedocleidochasma	bryozoa.net/cheilostomata/phidoloporidae/schedocleidochasma_porcellaniforme.html	1	\N	PHIDOLOPORIDAE
175	Rhynchozoon haha	Hayward, 1988	274	1	ZR1987/88-070	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynhah.html	1	\N	PHIDOLOPORIDAE
20037	Rhynchozoon tristelidion	Tilbrook, 2006	274	1	\N	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_tristelidion.html	1	\N	PHIDOLOPORIDAE
20038	Rhynchozoon taoraensis	Tilbrook, 2006	274	1	\N	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_taoraensis.html	1	\N	PHIDOLOPORIDAE
178	Rhynchozoon splendens	Hayward, 1988	274	1	ZR1987/88-070	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_splendens.html	1	\N	PHIDOLOPORIDAE
20034	Rhynchozoon solitarium	Tilbrook, 2006	274	1	\N	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_solitarium.html	1	\N	PHIDOLOPORIDAE
177	Rhynchozoon scopulorum	Ryland & Hayward, 1992	274	1	ZR1992/93-085	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_scopulorum.html	1	\N	PHIDOLOPORIDAE
176	Rhynchozoon limatulum	Ryland & Hayward, 1992	274	1	ZR1992/93-085	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_limatulum.html	1	\N	PHIDOLOPORIDAE
20035	Rhynchozoon incomitatum	Tilbrook, 2006	274	1	\N	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_incomitatum.html	1	\N	PHIDOLOPORIDAE
1845	Rhynchozoon ferocula	Hayward, 1988	274	1	ZR1987/88-070	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_ferocula.html	1	\N	PHIDOLOPORIDAE
