SpeciesID	Current_name	Author	FAMCODE	Recent	Remarks	Date_created	Date_modified	html_page	first_name	OK	Status
11453	 was Cycloperiella rosacea=1325	Osburn, 1947	252	1	ZR1947		23/05/2010		was	0	
9135	 was Cyclotrypa abdita=6372	Moore & Dudley, 1944	604	0	ZR1944 = Fistulipora carbonaria Warner & Cuffey		23/05/2010		was	0	
11713	 was Cyclotrypa decora	Moore & Dudley, 1944	604	0	ZR1944		23/05/2010		was	0	
11612	 was Cyphotrypa wilmingtonensis=5676	Ulrich & Bassler, 1904	561	0	ZR1965		23/05/2010		was	0	
13078	 was Cyphotrypa? corrugata=13197	(Weller, 1903)	561	0			23/05/2010		was	0	
14959	 was Dakaria' ordinata=3086	O'Donoghue & O'Donoghue, 1923	250	1	ZR1924; status?		23/05/2010		was	0	
10898	 was Dendrobeania pseudomurrayana fessa	Kluge, 1955	192	1	ZR1955		23/05/2010		was	0	
17250	 was Dermatopora ornata=13067	(Goldfuss, 1826)	148	0			23/05/2010		was	0	
5058	 was Desmeplagioecia amphorae=776	Harmelin, 1976	8	1	ZR1977		23/05/2010		was	0	
19613	 was Dianulites petropolitanus minor=12385	Lewis, 1934		0			23/05/2010		was	0	
16962	 was Diaperoecia flabellum	(Reuss, 1848)	14	0	in Ghiurca, 1975 now 14549		23/05/2010		was	0	
11818	 was Diaperoecia' floridana	Osburn, 1940	14	1	ZR1942		23/05/2010		was	0	
12867	 was Diaperoecia' meandrina=3244	Canu & Bassler, 1930	14	1	ZR1930		23/05/2010		was	0	
11819	 was Diaperoecia' rugosa	Osburn, 1940	14	1	ZR1942		23/05/2010		was	0	
15895	 was Diaperoecia transversata=921	Canu & Bassler, 1922	14	0	ZR1922		23/05/2010		was	0	
17696	 was Diastopora congesta=5051	(Reuss, 1847)	8	0			23/05/2010		was	0	
15153	 was Diastopora salevensis	(de Loriol, 1863)	8	0	now Perfodiastopora, 5594		23/05/2010		was	0	
14451	 was Dichotrypa elegans grandis=10599	Nekhoroshev, 1926	607	0	ZR1927, not Ulrich nn is tyrganensis		23/05/2010		was	0	
8316	 was Dionella racemata=14655	Shaw, 1967	148	0	ZR1968		23/05/2010		was	0	
8317	 was Dionella vivistratensis=14626	Shaw, 1967	148	0	ZR1968		23/05/2010		was	0	
14694	 was Diplocava heteropora=6708	(Roemer, 1863?)	44	0	ZR1991-92; includes D.globulosa		23/05/2010		was	0	
15161	 was Diplocava incondita	Canu & Bassler, 1926	44	0	=D.biformis		23/05/2010		was	0	
14692	 was Diplocava inordinata	Canu & Bassler, 1926	44	0	ZR1926, =D.biformis		23/05/2010		was	0	
14693	 was Diplocava orbiculifera	Canu & Bassler, 1926	44	0	ZR1926, =D.biformis		23/05/2010		was	0	
13906	 was Diploclema regulare=9296	(Vine, 1882)	60	0			23/05/2010		was	0	
9842	 was Discoporella umbellata conica	Marcus & Marcus, 1962	152	0	ZR1962; =depressa		23/05/2010		was	0	
180	Disporella buski	(Harmer, 1915)	54	1	now D. pristis		23/05/2010		Disporella	1	
11	 was Disporella echinata	MacGillivray, 1884	54	1			23/05/2010		was	0	
3393	 was Disporella gordoni	Taylor, Schembri & Cook, 1989	54	1	ZR1989/90-116		23/05/2010		was	0	
2340	 was Domosclerus papillatus	(Busk, 1884)		1	ZR1990/91-037		23/05/2010		was	0	
11752	 was Dybowskiella passa	Moore & Dudley, 1944	604	0	ZR1944 as Triphyllotrypa; =Fist incrustans Moore		23/05/2010		was	0	
15698	 was Dyscritella incrustata also=4377	Morozova, 1970	565	0	ZR1970		23/05/2010		was	0	
8084	 was Dyscritella incrustata=4377	Morozova, 1970	565	0	ZR1970; now Ruzhencevia		23/05/2010		was	0	
17108	 was Dyscritella maleckii=5208	Morozova, 1986	565	0	ZR1987/88-104		23/05/2010		was	0	
15693	 was Dyscritella tumida=15732	Phillips in Termier & Termier, 1950	565	0	not in ZR, Astrova 1978		23/05/2010		was	0	
10280	 was Dyscritellina undulatus=6047	(Yang, 1958)	565	0	ZR1958- as Stenodiscus; Astrova 1978 =Araxopora hayasakai		23/05/2010		was	0	
15167	 was Echinocava raulini now 4169	(Michelin, 1841)	34	0	dupl		23/05/2010		was	0	
11213	 was Electra anomala=1944	Osburn, 1950	142	1	ZR1950		23/05/2010		was	0	
12154	 was Electra hastingsae=540	Marcus, 1937	142	1	ZR1937		23/05/2010		was	0	
9581	 was Electra laciniosa=1276	Shier, 1964	142	1	ZR1964 nunc Conopeum; = C. tenuiss		23/05/2010		was	0	
16501	 was Ellisina? angusta=6141	Ulrich, 1901	148	0			23/05/2010		was	0	
13165	 was Emballotheca eschariformis=8050	(David & Pouyet, 1970)	282	0			23/05/2010		was	0	
6432	 was Emballotheca pacifica	Harmer, 1957	282	1	ZR1958, E.buskii has priority		23/05/2010		was	0	
10187	 was Enallopora alliku=17655	Männil, 1958	513	0	ZR1959		23/05/2010		was	0	
12876	 was Enallopora disposita=17656	(Bekker, 1921)	513	0	ZR1930		23/05/2010		was	0	
