rank_name	unit_name1	parent_name
Family	Ascosiidae	Mamilloporoidea
Superfamily	Celleporoidea	Lepraliomorpha
Family	Colatooeciidae	Celleporoidea
Family	Celleporidae	Celleporoidea
Family	Torquatellidae	Celleporoidea
Family	Hippoporidridae	Celleporoidea
Family	Phidoloporidae	Celleporoidea
Superfamily	Batoporoidea	Lepraliomorpha
Family	Batoporidae	Batoporoidea
Family	Orbituliporidae	Batoporoidea
Family	Conescharellinidae	Batoporoidea
Family	Lekythoporidae	Batoporoidea
Family	Cuvillieridae	Batoporoidea
Genus	Bellulopora	Cheilostomata
Genus	Bimicroporella	Cheilostomata
Genus	Dicasignetella	Cheilostomata
Genus	Dysnoetocella	Cheilostomata
Genus	Goodonia	Cheilostomata
Genus	Hippadenella	Cheilostomata
Genus	Hippomenella	Cheilostomata
Genus	Julianca	Cheilostomata
Genus	Kymella	Cheilostomata
Genus	Ochetosellina	Cheilostomata
Genus	Prattia	Cheilostomata
Genus	Pseudostega	Cheilostomata
Genus	Robertsonidra	Cheilostomata
Genus	Schallreuterella	Cheilostomata
Genus	Schizoporellopsis	Cheilostomata
Genus	Schizorthosecos	Cheilostomata
Genus	Taenioporella	Cheilostomata
Genus	Tshokrakopora	Cheilostomata
Genus	Tubescharina	Cheilostomata
Genus	Viskoviella	Cheilostomata
Class	Phylactolaemata	Bryozoa
Order	Plumatellida	Phylactolaemata
Family	Cristatellidae	Plumatellida
Family	Lophopodidae	Plumatellida
Family	Fredericellidae	Plumatellida
Family	Plumatellidae	Plumatellida
Family	Pectinatellidae	Plumatellida
Family	Stephanellidae	Plumatellida
