rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage	taxon_author	accepted_name	unacceptability_reason	comments	details
Family	Orbignyoporidae			Terebriporoidea d'Hondt 1977	valid	Pohowsky 1978				
Family	Pachyzoontidae			Alcyonidoidea Johnston 1847	valid	d'Hondt 1983				
Family	Paludicellidae			Paludicelloidea Jebram 1973	valid	Allman 1885				
Family	Penetrantiidae			Penetrantiina d'Hondt 1977	valid	Silén 1946				
Family	Pherusellidae			Flustrellidroidea Bassler 1953	valid	Osburn & Soule 1953				
Family	Pottsiellidae			Victorelloidea Jebram 1973	valid	Braem 1940				
Family	Ropalonariidae			Terebriporoidea d'Hondt 1977	valid	Nickles & Bassler 1900				
Family	Spathiporidae			Terebriporoidea d'Hondt 1977	valid	Pohowsky 1978				
Family	Sundanellidae			Victorelloidea Jebram 1973	valid	Jebram 1973				
Family	Terebriporidae			Terebriporoidea d'Hondt 1977	valid	d'Orbigny 1847				
Family	Triticellidae			Triticelloidea d'Hondt 1977	valid	Sars 1873				
Family	Vesiculariidae			Benedeniporoidea Jebram 1973	valid	Hincks 1880				
Family	Victorellidae			Victorelloidea Jebram 1973	valid	Hincks 1880				
Family	Vinellidae			Terebriporoidea d'Hondt 1977	valid	Ulrich & Bassler 1904				
Family	Voigtellidae			Terebriporoidea d'Hondt 1977	valid	Pohowsky 1978				
Family	Walkeriidae			Valkerioidea Silén 1942	valid	Hincks 1880				
Family	Actisecidae			Schizoporelloidea Jullien 1883	valid	Harmer 1957				
Family	Adeonellidae			Adeonoidea Busk 1884	valid	Busk 1884				
Family	Adeonidae			Adeonoidea Busk 1884	valid	Busk 1884				
Family	Aeteidae			Aeteoidea Smitt 1867	valid	Smitt 1868				
Family	Alysidiidae			Microporoidea Gray 1848	valid	Levinsen 1909				
Family	Antroporidae			Calloporoidea Norman 1903	valid	Vigneaux 1949				
Family	Arachnopusiidae			Arachnopusioidea Jullien 1888	valid	Jullien 1888				
Family	Ascosiidae			Mamilloporoidea Canu & Bassler 1927	valid	Jullien 1883				
Family	Aspidostomatidae			Microporoidea Gray 1848	valid	Jullien 1888				
Family	Batoporidae			Batoporoidea	valid	Neviani 1901				
Family	Beaniidae			Buguloidea Gray 1848	valid	Canu & Bassler 1927				
Family	Belluloporidae			Cribrilinoidea Hincks 1879	valid	Unknown 2007				
Family	Bicorniferidae			x_Neocheilostomina_fam	valid	Keij 1977				
Family	Bifaxariidae			Bifaxarioidea Busk 1884	valid	Busk 1884				
Family	Bitectiporidae			Smittinoidea Levinsen 1909	valid	MacGillivray 1895				
Family	Brydonellidae			Pseudolepralioidea Silén 1942	valid	Unknown 2007				
Family	Bryobaculidae			Schizoporelloidea Jullien 1883	valid	Rosso 2002				
Family	Bryocryptellidae			Lepralielloidea Vigneaux 1949	valid	Vigneaux 1949				
Family	Bryopastoridae			Calloporoidea Norman 1903	valid	d'Hondt & Gordon 1999				
Family	Buffonellodidae			Schizoporelloidea Jullien 1883	valid	Gordon & d'Hondt 1997				
Family	Bugulidae			Buguloidea Gray 1848	valid	Gray 1848				
Family	Calescharidae			Microporoidea Gray 1848	valid	Cook & Bock 2001				
Family	Calloporidae			Calloporoidea Norman 1903	valid	Norman 1903				
Family	Calwelliidae			Schizoporelloidea Jullien 1883	valid	MacGillivray 1887				
Family	Candidae			Buguloidea Gray 1848	valid	d'Orbigny 1851				
Family	Catenicellidae			Catenicelloidea Busk 1852	valid	Busk 1852				
Family	Cellariidae			Cellarioidea Lamouroux 1821	valid	Fleming 1828				
Family	Celleporidae			Celleporoidea Johnston 1838	valid	Johnston 1838				
Family	Chaperiidae			Calloporoidea Norman 1903	valid	Jullien 1888				
Family	Cheilhorneropsidae			x_Ascophorina_fam	valid	Annoscia, Braga & Finotti 1984				
Family	Cheiloporinidae			Schizoporelloidea Jullien 1883	valid	Bassler 1936				
Family	Chlidoniidae			Microporoidea Gray 1848	valid	Busk 1884				
Family	Chlidoniopsidae			Lepralielloidea Vigneaux 1949	valid	Harmer 1957				
Family	Chorizoporidae			Hippothooidea Busk 1859	valid	Vigneaux 1949				
Family	Cleidochasmatidae			Mamilloporoidea Canu & Bassler 1927	valid	Cheetham & Sandberg 1964				
Family	Colatooeciidae			Celleporoidea Johnston 1838	valid	Winston 2005				
Family	Concatenellidae			Catenicelloidea Busk 1852	valid	Bock & Cook 1996				
Family	Conescharellinidae			Batoporoidea	valid	Levinsen 1909				
Family	Corynostylidae			Membraniporoidea Busk 1854	valid	Vigneaux 1949				
Family	Coscinopleuridae			Cellarioidea Lamouroux 1821	valid	Canu 1913				
Family	Crepidacanthidae			Mamilloporoidea Canu & Bassler 1927	valid	Levinsen 1909				
Family	Cribrilinidae			Cribrilinoidea Hincks 1879	valid	Hincks 1879				
Family	Cryptosulidae			Schizoporelloidea Jullien 1883	valid	Vigneaux 1949				
Family	Cupuladriidae			Calloporoidea Norman 1903	valid	Lagaaij 1952				
Family	Cuvillieridae			Batoporoidea	valid	Annoscia 1965				
Family	Cyclicoporidae			Schizoporelloidea Jullien 1883	valid	Hincks 1884				
Family	Dhondtiscidae			Lepralielloidea Vigneaux 1949	valid	Gordon 1989				
Family	Didymosellidae			Didymoselloidea Brown 1952	valid	Brown 1952				
Family	Doryporellidae			Calloporoidea Norman 1903	valid	Grischenko, Taylor & Mawatari 2004				
Family	Duvergieriidae			Schizoporelloidea Jullien 1883	valid	Vigneaux 1949				
Family	Dysnoetoporidae			Dysnoetoporoidea Voigt 1971	valid	Voigt 1971				
Family	Echinovadomidae			Schizoporelloidea Jullien 1883	valid	Tilbrook 2001				
Family	Electridae			Membraniporoidea Busk 1854	valid	d'Orbigny 1851				
Family	Eminooeciidae			Schizoporelloidea Jullien 1883	valid	Vigneaux 1949				
Family	Epistomiidae			Buguloidea Gray 1848	valid	Gregory 1893				
Family	Escharinidae			Schizoporelloidea Jullien 1883	valid	Tilbrook 2006				
Family	Eucrateidae			Scruparioidea Gray 1848	valid	Hincks 1880				
Family	Euoplozoidae			Buguloidea Gray 1848	valid	Harmer 1926				
Family	Eurystomellidae			Catenicelloidea Busk 1852	valid	Levinsen 1909				
