rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage
Superfamily	Superfamily Siphonicytaroidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Smittinoidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Urceoliporoidea			Infraorder Ascophorina	valid
Family	Family Actisecidae			Superfamily Schizoporelloidea	valid
Family	Family Adeonellidae			Superfamily Adeonoidea	valid
Family	Family Adeonidae			Superfamily Adeonoidea	valid
Family	Family Aeteidae			Superfamily Aeteoidea	valid
Family	Family Alysidiidae			Superfamily Microporoidea	valid
Family	Family Antroporidae			Superfamily Calloporoidea	valid
Family	Family Arachnopusiidae			Superfamily Arachnopusioidea	valid
Family	Family Ascosiidae			Superfamily Mamilloporoidea	valid
Family	Family Aspidostomatidae			Superfamily Microporoidea	valid
Family	Family Batoporidae			Superfamily Conescharellinoidea	valid
Family	Family Beaniidae			Superfamily Buguloidea	valid
Family	Family Belluloporidae			Superfamily Cribrilinoidea	valid
Family	Family Bicorniferidae			Suborder Neocheilostomina	valid
Family	Family Bifaxariidae			Superfamily Bifaxarioidea	valid
Family	Family Bitectiporidae			Superfamily Smittinoidea	valid
Family	Family Brydonellidae			Superfamily Pseudolepralioidea	valid
Family	Family Bryobaculidae			Superfamily Schizoporelloidea	valid
Family	Family Bryocryptellidae			Superfamily Lepralielloidea	valid
Family	Family Bryopastoridae			Superfamily Calloporoidea	valid
Family	Family Buffonellodidae			Superfamily Schizoporelloidea	valid
Family	Family Bugulidae			Superfamily Buguloidea	valid
Family	Family Calescharidae			Superfamily Microporoidea	valid
Family	Family Calloporidae			Superfamily Calloporoidea	valid
Family	Family Calwelliidae			Superfamily Schizoporelloidea	valid
Family	Family Candidae			Superfamily Buguloidea	valid
Family	Family Catenicellidae			Superfamily Catenicelloidea	valid
Family	Family Cellariidae			Superfamily Cellarioidea	valid
Family	Family Celleporidae			Superfamily Celleporoidea	valid
Family	Family Chaperiidae			Superfamily Calloporoidea	valid
Family	Family Cheilhorneropsidae			Infraorder Ascophorina	valid
Family	Family Cheiloporinidae			Superfamily Schizoporelloidea	valid
Family	Family Chlidoniidae			Superfamily Microporoidea	valid
Family	Family Chlidoniopsidae			Superfamily Lepralielloidea	valid
Family	Family Chorizoporidae			Superfamily Hippothooidea	valid
Family	Family Cleidochasmatidae			Superfamily Mamilloporoidea	valid
Family	Family Colatooeciiidae			Superfamily Celleporoidea	valid
Family	Family Concatenellidae			Superfamily Catenicelloidea	valid
Family	Family Conescharellinidae			Superfamily Conescharellinoidea	valid
Family	Family Corynostylidae			Superfamily Membraniporoidea	valid
Family	Family Coscinopleuridae			Superfamily Cellarioidea	valid
Family	Family Crepidacanthidae			Superfamily Mamilloporoidea	valid
Family	Family Cribrilinidae			Superfamily Cribrilinoidea	valid
Family	Family Cryptosulidae			Superfamily Schizoporelloidea	valid
Family	Family Cupuladriidae			Superfamily Calloporoidea	valid
Family	Family Cuvillieridae			Order Cheilostomata	valid
Family	Family Cyclicoporidae			Superfamily Schizoporelloidea	valid
Family	Family Dhondtiscidae			Superfamily Lepralielloidea	valid
Family	Family Didymosellidae			Superfamily Didymoselloidea	valid
Family	Family Doryporellidae			Superfamily Calloporoidea	valid
