rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage
Family	Hincksiporidae			Lepralielloidea	valid
Family	Hippaliosinidae			Schizoporelloidea	valid
Family	Hippopodinidae			Schizoporelloidea	valid
Family	Hippoporidridae			Celleporoidea	valid
Family	Hippothoidae			Hippothooidea	valid
Family	Inversiulidae			Adeonoidea	valid
Family	Jaculinidae			Schizoporelloidea	valid
Family	Jubellidae			Buguloidea	valid
Family	Lacernidae			Schizoporelloidea	valid
Family	Lanceoporidae			Schizoporelloidea	valid
Family	Acoraniidae			Schizoporelloidea	valid
Family	Actinoporidae			Tubuliporina	valid
Family	Arcanoporidae			Bryozoa	valid
Family	Beisselinidae			Bryozoa	valid
Family	Bicellariellidae			Bryozoa	valid
Family	Columnothecidae			Bryozoa	valid
Family	Cristatellidae			Plumatellida	valid
Family	Ditaxiporinidae			Bryozoa	valid
Family	Exochellidae			Lepralielloidea	valid
Family	Flabellotrypidae			Paleotubuliporina	valid
Family	Fredericellidae			Plumatellida	valid
Family	Hesychoxeniidae			Bryozoa	valid
Family	Kielceporidae			Cryptostomida	valid
Family	Labioporellidae			Bryozoa	valid
Family	Lophopodidae			Plumatellida	valid
Family	Lyroporinae			Bryozoa	valid
Family	Nematoporellidae			Bryozoa	valid
Family	Palescharidae			Cryptostomida	valid
Family	Panolicellidae			Bryozoa	valid
Family	Pectinatellidae			Plumatellida	valid
Family	Nephroporidae			Scorioporoidea	valid
Family	Onychocellidae			Microporoidea	valid
Family	Orbituliporidae			Batoporoidea	valid
Family	Otionellidae			Microporoidea	valid
Family	Pacificincolidae			Schizoporelloidea	valid
Family	Pasytheidae			Hippothooidea	valid
Family	Petalostegidae			Catenicelloidea	valid
Family	Petraliellidae			Schizoporelloidea	valid
Family	Petraliidae			Schizoporelloidea	valid
Family	Phidoloporidae			Celleporoidea	valid
Family	Phoceanidae			Schizoporelloidea	valid
Family	Phorioppniidae			Schizoporelloidea	valid
Family	Platyglenidae			Bifaxarioidea	valid
Family	Polliciporidae			Cribrilinoidea	valid
Family	Poricellariidae			Microporoidea	valid
Family	Porinidae			Schizoporelloidea	valid
Family	Prostomariidae			Urceoliporoidea	valid
Family	Pseudolepraliidae			Pseudolepralioidea	valid
Family	Quadricellariidae			Calloporoidea	valid
Family	Rhabdozoidae			Buguloidea	valid
Family	Romancheinidae			Lepralielloidea	valid
Family	Savignyellidae			Catenicelloidea	valid
Family	Schizoporellidae			Schizoporelloidea	valid
Family	Sclerodomidae			Lepralielloidea	valid
Family	Scorioporidae			Scorioporoidea	valid
Family	Scrupariidae			Scruparioidea	valid
Family	Selenariidae			Microporoidea	valid
Family	Setosellidae			Microporoidea	valid
Family	Siphonicytaridae			Siphonicytaroidea	valid
Family	Skyloniidae			Neocheilostomina	valid
Family	Smittinidae			Smittinoidea	valid
Family	Steginoporellidae			Microporoidea	valid
Family	Stomachetosellidae			Schizoporelloidea	valid
Family	Tendridae			Calloporoidea	valid
Family	Tessaradomidae			Lepralielloidea	valid
Family	Tetraplariidae			Schizoporelloidea	valid
Family	Teuchoporidae			Schizoporelloidea	valid
Family	Thalamoporellidae			Microporoidea	valid
Family	Torquatellidae			Celleporoidea	valid
Family	Trypostegidae			Hippothooidea	valid
Family	Umbonulidae			Lepralielloidea	valid
Family	Urceoliporidae			Urceoliporoidea	valid
Family	Vicidae			Schizoporelloidea	valid
Family	Vinculariidae			Calloporoidea	valid
Family	Watersiporidae			Smittinoidea	valid
Family	Wawaliidae			Membraniporoidea	valid
Family	Euthyrisellidae			Euthyriselloidea	valid
Family	Plagioeciidae			Tubuliporina	valid
Family	Calvetiidae			Cancellata	valid
Family	Diploclemidae			Tubuliporina	valid
Family	Chiplonkarinidae			Membraniporoidea	valid
Family	Gemelliporellidae			Lepralielloidea	valid
Family	Sfeniellidae			Lepralielloidea	valid
Family	Peedeesellidae			Lepralielloidea	valid
Family	Phaceloporidae			Tubuliporina	valid
Family	Phragmoporidae			Bryozoa	valid
Family	Plumatellidae			Plumatellida	valid
Family	Ptyloporidae			Bryozoa	valid
Family	Radioporidae			Cancellata	valid
Family	Setosellinidae			Bryozoa	valid
Family	Stephanellidae			Plumatellida	valid
Family	Taenioporinidae			Bryozoa	valid
Family	Tamaroclemidae			Cryptostomida	valid
Family	Vidronovellidae			Goldfussitrypina	valid
Family	Membraniporidae			Membraniporoidea	valid
Family	Lepraliellidae			Lepralielloidea	valid
Family	Lunulitidae			Microporoidea	valid
Family	Metrarabdotosidae			Lepralielloidea	valid
Genus	Aethozoon			Aethozoontidae	valid
Genus	Aeverrillia			Aeverrilliidae	valid
Genus	Alcyonidioides			Alcyonidiidae	valid
Genus	Alcyonidium			Alcyonidiidae	valid
Genus	Allonema			Vinellidae	valid
Genus	Amathia			Vesiculariidae	valid
Genus	Anguinella			Nolellidae	valid
Genus	Arachnidium			Arachnidiidae	valid
Genus	Arachnoidea			Arachnidiidae	valid
Genus	Arachnoidella			Arachnidiidae	valid
Genus	Ascodictyon			Ascodictyidae	valid
Genus	Ascorhiza			Clavoporidae	valid
Genus	Avenella			Vesiculariidae	valid
Genus	Bantariella			Mimosellidae	valid
Genus	Bascomella			Ascodictyidae	valid
Genus	Bathyalozoon			Bathyalozoontidae	valid
Genus	Benedenipora			Benedeniporidae	valid
Genus	Bockiella			Flustrellidridae	valid
Genus	Bowerbankia			Vesiculariidae	valid
Genus	Bulbella			Victorellidae	valid
Genus	Cardoarachnidium			Arachnidiidae	valid
Genus	Casteropora			Ctenostomata	valid
Genus	Clavopora			Clavoporidae	valid
Genus	Condranema			Vinellidae	valid
Genus	Cookobryozoon			Cookobryozoonidae	valid
Genus	Crassicaula			Vesiculariidae	valid
Genus	Cryptoarachnidium			Arachnidiidae	valid
Genus	Cryptopolyzoon			Buskiidae	valid
Genus	Eliasopora			Ascodictyidae	valid
Genus	Elzerina			Flustrellidridae	valid
Genus	Farrella			Farrellidae	valid
Genus	Fischerella			Ctenostomata	valid
Genus	Flustrellidra			Flustrellidridae	valid
Genus	Flustrellidrella			Flustrellidridae	valid
Genus	Foraripora			Ctenostomata	valid
Genus	Franzenella			Arachnidiidae	valid
Genus	Haimeina			Ctenostomata	valid
Genus	Harmeriella			Harmeriellidae	valid
Genus	Haywardozoon			Haywardozoontidae	valid
Genus	Hislopia			Hislopiidae	valid
Genus	Huxleya			Vesiculariidae	valid
Genus	Hypophorella			Hypophorellidae	valid
Genus	Immergentia			Immergentiidae	valid
Genus	Iramena			Ctenostomata	valid
Genus	Labiostomella			Labiostomellidae	valid
Genus	Lobiancopora			Alcyonidiidae	valid
Genus	Marcusopora			Ctenostomata	valid
Genus	Metalcyonidium			Clavoporidae	valid
Genus	Mimosella			Mimosellidae	valid
Genus	Monastesia			Walkeriidae	valid
Genus	Monobryozoon			Monobryozoontidae	valid
Genus	Neobockiella			Flustrellidridae	valid
Genus	Neoflustrellidra			Flustrellidridae	valid
Genus	Nolella			Nolellidae	valid
Genus	Orbignyopora			Orbignyoporidae	valid
Genus	Pachyzoon			Pachyzoontidae	valid
Genus	Paludicella			Paludicellidae	valid
Genus	Panolicella			Vesiculariidae	valid
Genus	Parachnoidea			Arachnidiidae	valid
Genus	Paralcyonidium			Alcyonidiidae	valid
Genus	Paravinella			Vinellidae	valid
Genus	Penetrantia			Penetrantiidae	valid
Genus	Pherusella			Pherusellidae	valid
Genus	Platypolyzoon			Nolellidae	valid
Genus	Pottsiella			Pottsiellidae	valid
Genus	Protobenedenipora			Benedeniporoidea	valid
Genus	Pseudalcyonidium			Clavoporidae	valid
Genus	Ropalonaria			Ropalonariidae	valid
Genus	Simplicidium			Arachnidiidae	valid
Genus	Sineportella			Victorellidae	valid
Genus	Spathipora			Spathiporidae	valid
Genus	Stolonicella			Ctenostomata	valid
Genus	Sundanella			Sundanellidae	valid
Genus	Syringothenia			Alcyonidiidae	valid
Genus	Tanganella			Victorellidae	valid
Genus	Terebripora			Terebriporidae	valid
Genus	Triticella			Triticellidae	valid
Genus	Triticellopsis			Triticellidae	valid
Genus	Vesicularia			Vesiculariidae	valid
Genus	Victorella			Victorellidae	valid
Genus	Vinella			Vinellidae	valid
Genus	Voigtella			Voigtellidae	valid
Genus	Walkeria			Walkeriidae	valid
Genus	Zoobotryon			Vesiculariidae	valid
Genus	Abdomenopora			Cribrilinidae	valid
Genus	Aberrodomus			Bifaxariidae	valid
Genus	Acanthobaktron			Cribrilinidae	valid
Genus	Acanthodesiomorpha			Microporoidea	valid
Genus	Acanthophragma			Beisselinidae	valid
Genus	Acanthoporella			Calloporidae	valid
Genus	Acanthoporidra			Calloporidae	valid
Genus	Acerinucleus			Cellariidae	valid
Genus	Acoscinopleura			Coscinopleuridae	valid
Genus	Actisecos			Actisecidae	valid
Genus	Adelascopora			Labioporellidae	valid
Genus	Adenifera			Calloporidae	valid
Genus	Adeona			Adeonidae	valid
Genus	Adeonella			Adeonellidae	valid
Genus	Adeonellopsis			Adeonidae	valid
Genus	Aechmella			Onychocellidae	valid
Genus	Aegyptopora			Umbonulidae	valid
Genus	Aeolopora			Cribrilinidae	valid
Genus	Aequilumina			Kielceporidae	valid
Genus	Aetea			Aeteidae	valid
Genus	Ahcheethamia			Catenicellidae	valid
Genus	Aimulosia			Buffonellodidae	valid
Genus	Akatopora			Antroporidae	valid
Genus	Alderina			Calloporidae	valid
Genus	Alismittina			Smittinidae	valid
Genus	Allantocallopora			Calloporidae	valid
Genus	Allantopora			Calloporidae	valid
Genus	Allerescha			Romancheinidae	valid
Genus	Alysidium			Alysidiidae	valid
Genus	Amastigia			Candidae	valid
Genus	Ammatophora			Calloporidae	valid
Genus	Amphiblestrella			Chaperiidae	valid
Genus	Anaptopora			Cribrilinidae	valid
Genus	Anarthropora			Adeonidae	valid
Genus	Anaskopora			Cribrilinidae	valid
Genus	Anchicleidochasma			Cleidochasmatidae	valid
Genus	Andreella			Lyroporinae	valid
Genus	Andriopora			Cribrilinidae	valid
Genus	Anexechona			Exechonellidae	valid
Genus	Angelopora			Cribrilinidae	valid
Genus	Anornithopora			Cribrilinidae	valid
Genus	Anoteropora			Ditaxiporinidae	valid
Genus	Anotopora			Cribrilinidae	valid
Genus	Antarcticaetos			Romancheinidae	valid
Genus	Antropora			Antroporidae	valid
Genus	Apiophragma			Lyroporinae	valid
Genus	Aplousina			Calloporidae	valid
Genus	Aptonella			Gigantoporidae	valid
Genus	Arachnopusia			Arachnopusiidae	valid
Genus	Arctonula			Romancheinidae	valid
Genus	Argopora			Cribrilinidae	valid
Genus	Arthropoma			Lacernidae	valid
Genus	Ascancestor			Cribrilinidae	valid
Genus	Ascosia			Ascosiidae	valid
Genus	Aspericreta			Smittinidae	valid
Genus	Aspidelectra			Electridae	valid
Genus	Aspidostoma			Aspidostomatidae	valid
Genus	Astochoporella			Umbonulidae	valid
Genus	Astoleiosalpinx			Acoraniidae	valid
Genus	Atactoporidra			Batoporidae	valid
Genus	Atelestozoum			Cellariidae	valid
Genus	Auchenopora			Cribrilinidae	valid
Genus	Aulopocella			Arcanoporidae	valid
Genus	Austroflustra			Flustridae	valid
Genus	Amphiblestrum			Calloporidae	valid
Genus	Aviculiera			Lyroporinae	valid
Genus	Babickella			Bicorniferidae	valid
Genus	Bactrellaria			Candidae	valid
Genus	Bactridium			Escharinidae	valid
Genus	Balantiostoma			Beisselinidae	valid
Genus	Baptopora			Cribrilinidae	valid
Genus	Bathosella			Romancheinidae	valid
Genus	Bathypora			Electridae	valid
Genus	Bathystomella			Scorioporidae	valid
Genus	Batopora			Batoporidae	valid
Genus	Batoporella			Batoporidae	valid
