Rank ID	Class	Order	Suborder	Infraorder	Superfamily	Family	Genus
20 3	stenolaemata
20 1	gymnolaemata
20 2	phylactolaemata
20 4	NULL
20 5	NULL
20 6	NULL
20 7	NULL
20 8	NULL
20 9	NULL
20 10	NULL
20 11	NULL
20 12	NULL
20 13	NULL
20 14	NULL
20 15	NULL
20 16	NULL
30 4	stenolaemata	cyclostomata
30 7	stenolaemata	hederellida
30 2	stenolaemata	cryptostomida
30 5	stenolaemata	cystoporida
30 9	stenolaemata	trepostomatida
30 6	stenolaemata	fenestrida
30 3	gymnolaemata	ctenostomata
30 1	gymnolaemata	cheilostomata
30 8	phylactolaemata	plumatellida
30 10	NULL	NULL
30 11	NULL	NULL
30 12	NULL	NULL
30 13	NULL	NULL
30 14	NULL	NULL
30 15	NULL	NULL
30 16	NULL	NULL
30 17	NULL	NULL
30 18	NULL	NULL
30 19	NULL	NULL
30 20	NULL	NULL
30 21	NULL	NULL
30 22	NULL	NULL
70 13	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	celleporoidea
70 14	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	conescharellinoidea
70 15	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	cribrilinoidea
70 16	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	didymoselloidea
70 17	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	dysnoetoporoidea
70 18	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	euthyriselloidea
70 20	gymnolaemata	cheilostomata	neocheilostomina	NULL	flustroidea
70 22	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	hippothooidea
70 24	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	lepralielloidea
70 25	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	mamilloporoidea
70 26	gymnolaemata	cheilostomata	malacostegina	NULL	membraniporoidea
70 27	gymnolaemata	cheilostomata	neocheilostomina	NULL	microporoidea
70 30	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	pseudolepralioidea
70 31	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	schizoporelloidea
70 32	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	scorioporoidea
70 33	gymnolaemata	cheilostomata	scrupariina	NULL	scruparioidea
70 34	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	siphonicytaroidea
70 35	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	smittinoidea
70 39	gymnolaemata	cheilostomata	neocheilostomina	NULL	uncertain
70 40	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	uncertain
70 41	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	uncertain
70 42	gymnolaemata	cheilostomata	uncertain	uncertain	uncertain
70 43	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	uncertain
70 44	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	uncertain
70 45	gymnolaemata	cheilostomata	neocheilostomina	ascophorina	urceoliporoidea
70 49	stenolaemata	cystoporida	ceramoporina	NULL	NULL
70 50	stenolaemata	fenestrida	NULL	NULL	NULL
70 51	stenolaemata	cystoporida	fistuliporina	NULL	NULL
70 52	stenolaemata	fenestrida	NULL	NULL	NULL
70 53	stenolaemata	trepostomatida	NULL	NULL	NULL
70 54	stenolaemata	trepostomatida	NULL	NULL	NULL
70 55	stenolaemata	trepostomatida	NULL	NULL	NULL
70 56	stenolaemata	cyclostomata	tubuliporina	NULL	NULL
70 57	stenolaemata	cystoporida	fistuliporina	NULL	NULL
70 58	stenolaemata	trepostomatida	NULL	NULL	NULL
