unknown-id1	unknown-id2	name	rank	unknown-id	authority-date	authority-name	date	comment
135024	10090	incisa	113		1884	Bock	7/3/2004	Pro Scrupocellaria inermis O'Donoghue & O'Donoghue,  1923 non Norman, 1868;
135313	20543	incisa	113		1881	Bock	7/3/2004	Recent, Arctic;
138334	20834	incisa	113		1884	Bock	7/3/2004	?Subjective junior synonym Flustra tuberculata fide Harmer (1926);   Nunc Membranipora fide Canu & Bassler (1920);   Etiam Reptoflustra fide d'Orbigny (1852);   Recent, Pacific (Peru);
132795	20322	incisor	113		1905	Bock	7/3/2004	Vide Flustra inca;
137850	21307	incisor	113		1905	Bock	7/3/2004	Vide Flustra inca;
137878	20808	incisor	113		1905	Bock	7/3/2004	Recent, southwest Indian Ocean;
137914	10090	incisor	113		1905	Bock	7/3/2004	Species typica Eupaxia Hasenbank, 1932;   Recent, western Indian Ocean (East Africa);
138070	20833	inclusa	113		1906	Bock	7/3/2004	Recent, Arctic;
138335	20834	inclusa	113		1906	Bock	7/3/2004	Vide Lunulites incisa;
139025	21329	inclusa	113		1904	Bock	7/3/2004	?Lepralia incisa Busk; 
139226	20880	inclusa	113		1904	Bock	7/3/2004	?Lepralia incisa; 
131936	20203	inclusum	113		1904	Bock	7/3/2004	Subjective junior synonym Lepralia vitrea fide Waters (1888);   Nunc Schizoporella fide Waters (1888);   Recent, Atlantic (Tristan da Cunha);
137073	20716	inclusum	113		1904	Bock	7/3/2004	Subjective junior synonym Bipora angulopora fide Whitelegge (1887) & Livingstone (1924);   Nunc Conescharellina fide Jelly (1889) & Canu & Bassler (1929);   Recent, Pacific (Australia);
133281	20344	incognita	113		1967	Bock	7/3/2004	Vide Lepralia incisa;
137931	20816	incompta	113		0	Bock	7/3/2004	Vide Rhynchopora incisor;
138071	20833	incompta	113		1988	Bock	7/3/2004	Vide Rhyncopora incisor;
140824	30019	incondita	113		1920	Bock	12/3/2004	Vide Rhyncopora [sic] incisor;
130560	20135	inconspicua	113		1923	Bock	7/3/2004	Nunc Drepanophora fide Harmer (1957);   Etiam Rhychozoon fide Thornely (1907);   Recent, Indian Ocean;   Fossil: Pliocene (Japan);
135613	20566	inconspicua	113		1923	Bock	7/3/2004	Vide Schizoporella inclusa;
136360	21161	inconspicua	113		1890	Bock	7/3/2004	Pro Schizoporella triangula Philipps, 1899 non Hincks,  1881;   Nunc Schizomavella fide Harmer (1957);   Recent, IndoPacific;
138336	20834	inconspicua	113		1891	Bock	7/3/2004	Species typica Polirhabdotos Hayward & Thorpe, 1981;   Nunc Polirhabdotos fide Hayward & Thorpe (1981);   Etiam Clithriellum fide Rogick (1956);   Recent, Antarctic;
132214	20236	inconstantia	113		1914	Bock	7/3/2004	Recent, Antarctic;
135614	20566	inconstantia	113		1914	Bock	7/3/2004	Vide Smittia inclusa;
131233	21264	incrassata	113		1816	Bock	7/3/2004	Vide Smittia inclusa;
131463	20873	incrassata	113		1816	Bock	7/3/2004	Recent, Pacific (New Zealand);
131585	21096	incrassata	113		1816	Bock	7/3/2004	
131654	10091	incrassata	113		1816	Bock	7/3/2004	Recent, Indian Ocean (Mauritius);
132074	10091	incrassata	113		1786	Bock	7/3/2004	Recent, Pacific (China Sea);   Fossil: Eocene (USA);
132157	21097	incrassata	113		1816	Bock	7/3/2004	Vide Membranipora inconspicua;
133036	10091	incrassata	113		1834	Bock	7/3/2004	Nunc Callopora fide Osburn (1950);   Recent, northeast Pacific (Canada, British Columbia);
133037	10091	incrassata	113		1836	Bock	7/3/2004	Recent, Pacific (Japan);
133638	10091	incrassata	113		1786	Bock	7/3/2004	Recent, Indian Ocean (South Africa);
